Time,Aggregate_CPU(%),Aggregate_Memory(GB)
2025-12-01 13:46:44,0.0,0.00
2025-12-01 13:46:47,0.0,0.00
2025-12-01 13:46:50,0.0,0.00
2025-12-01 13:46:53,0.0,0.00
2025-12-01 13:46:57,0.0,0.00
2025-12-01 13:47:00,0.0,0.00
2025-12-01 13:47:03,0.0,0.00
2025-12-01 13:47:06,0.0,0.00
2025-12-01 13:47:09,0.0,0.00
2025-12-01 13:47:12,0.0,0.00
2025-12-01 13:47:15,0.0,0.00
2025-12-01 13:47:18,0.0,0.00
2025-12-01 13:47:21,0.0,0.00
2025-12-01 13:47:24,0.0,0.00
2025-12-01 13:47:27,0.0,0.00
2025-12-01 13:47:30,0.0,0.00
2025-12-01 13:47:33,0.0,0.00
2025-12-01 13:47:36,0.0,0.00
2025-12-01 13:47:39,0.0,0.00
2025-12-01 13:47:42,0.0,0.00
2025-12-01 13:47:45,0.0,0.00
2025-12-01 13:47:48,0.0,0.00
2025-12-01 13:47:51,0.0,0.00
2025-12-01 13:47:54,0.0,0.00
2025-12-01 13:47:57,0.0,0.00
2025-12-01 13:48:00,0.0,0.00
2025-12-01 13:48:03,0.0,0.00
2025-12-01 13:48:07,0.0,0.00
2025-12-01 13:48:10,0.0,0.00
2025-12-01 13:48:13,0.0,0.00
2025-12-01 13:48:16,0.0,0.00
2025-12-01 13:48:19,0.0,0.00
2025-12-01 13:48:22,0.0,0.00
2025-12-01 13:48:25,0.0,0.00
2025-12-01 13:48:28,0.0,0.00
2025-12-01 13:48:31,0.0,0.00
2025-12-01 13:48:34,0.0,0.00
2025-12-01 13:48:37,0.0,0.00
2025-12-01 13:48:40,0.0,0.00
2025-12-01 13:48:43,0.0,0.00
2025-12-01 13:48:46,0.0,0.00
2025-12-01 13:48:49,0.0,0.00
2025-12-01 13:48:52,0.0,0.00
2025-12-01 13:48:55,0.0,0.00
2025-12-01 13:48:58,0.0,0.00
2025-12-01 13:49:01,0.0,0.00
2025-12-01 13:49:04,0.0,0.00
2025-12-01 13:49:07,0.0,0.00
2025-12-01 13:49:10,0.0,0.00
2025-12-01 13:49:13,0.0,0.00
2025-12-01 13:49:16,0.0,0.00
2025-12-01 13:49:19,0.0,0.00
2025-12-01 13:49:22,0.0,0.00
2025-12-01 13:49:25,0.0,0.00
2025-12-01 13:49:28,0.0,0.00
2025-12-01 13:49:31,0.0,0.00
2025-12-01 13:49:35,0.0,0.00
2025-12-01 13:49:38,0.0,0.00
2025-12-01 13:49:41,0.0,0.00
2025-12-01 13:49:44,0.0,0.00
2025-12-01 13:49:47,0.0,0.00
2025-12-01 13:49:50,0.0,0.00
2025-12-01 13:49:53,0.0,0.00
2025-12-01 13:49:56,0.0,0.00
2025-12-01 13:49:59,0.0,0.00
2025-12-01 13:50:02,0.0,0.00
2025-12-01 13:50:05,0.0,0.00
2025-12-01 13:50:08,0.0,0.00
2025-12-01 13:50:11,0.0,0.00
2025-12-01 13:50:14,0.0,0.00
2025-12-01 13:50:17,0.0,0.00
2025-12-01 13:50:20,0.0,0.00
2025-12-01 13:50:23,0.0,0.00
2025-12-01 13:50:26,0.0,0.00
2025-12-01 13:50:29,0.0,0.00
2025-12-01 13:50:32,0.0,0.00
2025-12-01 13:50:35,0.0,0.00
2025-12-01 13:50:38,110.0,0.29
2025-12-01 13:50:42,216.0,0.70
2025-12-01 13:50:46,344.0,0.97
2025-12-01 13:50:50,235.0,1.38
2025-12-01 13:50:54,178.0,2.13
2025-12-01 13:50:58,275.0,2.98
2025-12-01 13:51:02,331.0,3.85
2025-12-01 13:51:07,203.0,4.39
2025-12-01 13:51:11,226.0,4.46
2025-12-01 13:51:15,186.0,5.44
2025-12-01 13:51:19,351.0,5.84
2025-12-01 13:51:22,0.0,0.00
2025-12-01 13:51:25,0.0,0.00
2025-12-01 13:51:28,0.0,0.00
2025-12-01 13:51:31,0.0,0.00
2025-12-01 13:51:34,0.0,0.00
2025-12-01 13:51:37,0.0,0.00
2025-12-01 13:51:40,0.0,0.00
2025-12-01 13:51:43,0.0,0.00
2025-12-01 13:51:46,0.0,0.00
2025-12-01 13:51:49,0.0,0.00
2025-12-01 13:51:52,0.0,0.00
2025-12-01 13:51:55,0.0,0.00
2025-12-01 13:51:58,0.0,0.00
2025-12-01 13:52:01,0.0,0.00
2025-12-01 13:52:04,0.0,0.00
2025-12-01 13:52:07,0.0,0.00
2025-12-01 13:52:10,0.0,0.00
2025-12-01 13:52:13,0.0,0.00
2025-12-01 13:52:16,0.0,0.00
2025-12-01 13:52:19,0.0,0.00
2025-12-01 13:52:22,0.0,0.00
2025-12-01 13:52:25,0.0,0.00
2025-12-01 13:52:28,0.0,0.00
2025-12-01 13:52:32,0.0,0.00
2025-12-01 13:52:35,0.0,0.00
2025-12-01 13:52:38,0.0,0.00
2025-12-01 13:52:41,0.0,0.00
2025-12-01 13:52:44,0.0,0.00
2025-12-01 13:52:47,0.0,0.00
2025-12-01 13:52:50,0.0,0.00
2025-12-01 13:52:53,0.0,0.00
2025-12-01 13:52:56,0.0,0.00
2025-12-01 13:52:59,0.0,0.00
2025-12-01 13:53:02,0.0,0.00
2025-12-01 13:53:05,0.0,0.00
2025-12-01 13:53:08,0.0,0.00
2025-12-01 13:53:11,0.0,0.00
2025-12-01 13:53:14,0.0,0.00
2025-12-01 13:53:17,0.0,0.00
2025-12-01 13:53:20,0.0,0.00
2025-12-01 13:53:23,0.0,0.00
2025-12-01 13:53:26,0.0,0.00
2025-12-01 13:53:29,0.0,0.00
2025-12-01 13:53:32,0.0,0.00
2025-12-01 13:53:35,0.0,0.00
2025-12-01 13:53:38,0.0,0.00
2025-12-01 13:53:42,0.0,0.00
2025-12-01 13:53:45,0.0,0.00
2025-12-01 13:53:48,0.0,0.00
2025-12-01 13:53:51,0.0,0.00
2025-12-01 13:53:54,0.0,0.00
